id,alpha_1,alpha_2,alpha_3,alpha_4
if1_hh,1.0476540296566248,0.25717717976979404,0.14084667168307624,0.14987233416812204
if1_lh,0.14648321159801211,0.1232081072139355,0.1513085863278497,0.32103561471435427
if1_u-Lh,0.6840512744350244,0.20378348612200808,0.14585848568056012,0.32726795451413054
if1_uh,0.7387953303883257,0.18808300835370304,0.1362260960077673,0.28493598014674004
if2_hl,0.4286483702932963,0.2946752195168324,0.11869933810623837,0.16497916185969796
if2_ll,0.3263090537239563,0.20305260552546875,0.13490823365896432,0.4081349267252376
if2_u-Ll,0.2990814115872769,0.27282803786501,0.12416356235281814,0.25187115681729794
if2_ul,0.4562117971635322,0.3039414746273257,0.12873000808974946,0.1975524952703051
independent_hh,0.6873044396936647,0.1426763289655365,0.21070327751344065,0.12255153673362978
independent_hl,0.39822896609426484,0.5098092150675649,0.1382370872724286,0.13536547592132206
independent_ll,0.13515115654118942,0.13659111569084548,0.29551817560406834,0.5385122684015617
independent_uh,0.5977918051999633,0.20761667437335524,0.40449171375191917,0.16935844674563372
independent_ul,0.39594547098387606,0.5507139522167204,0.27549695296885784,0.3428149805214952
